Amphi,Position,Latitude,Longitude,Accuracy_m,Altitude_m
4,1,36.6882821,2.8661085,4.5,176.7
4,1,36.688282,2.8661106,4.3,176.4
4,1,36.6882815,2.8661109,4.3,176.4
4,1,36.6882805,2.8661158,5.2,176.4
4,1,36.6882808,2.8661165,5.0,176.4
4,1,36.6882809,2.8661165,4.9,176.7
4,1,36.6882799,2.8661173,4.8,176.7
4,1,36.6882794,2.8661174,5.0,176.7
4,1,36.6882785,2.8661181,5.3,176.7
4,1,36.6882814,2.8661188,5.5,176.5
4,1,36.6882785,2.8661187,5.7,176.7
4,1,36.688278,2.8661191,5.7,176.4
4,1,36.6882762,2.8661198,5.5,176.5
4,2,36.6882769,2.8661218,5.0,176.7
4,2,36.6882765,2.8661244,5.2,176.7
4,2,36.6882775,2.8661274,5.7,176.5
4,2,36.6882793,2.8661236,5.7,176.7
4,2,36.6882797,2.866122,6.0,176.7
4,2,36.6882806,2.8661203,6.3,176.7
4,2,36.6882775,2.8661164,6.1,176.5
4,2,36.6882776,2.8661154,7.3,176.4
4,2,36.6882816,2.8661178,7.3,176.4
4,2,36.6882814,2.8661181,7.4,176.4
4,2,36.688274,2.8661179,6.4,176.4
4,2,36.6882737,2.8661178,6.4,176.4
4,2,36.6882697,2.8661165,5.8,176.4
4,2,36.6882698,2.8661166,5.7,176.7
4,2,36.6882698,2.8661158,6.0,176.4
4,2,36.6882697,2.8661147,6.9,176.4
4,2,36.6882676,2.8661151,6.7,176.4
4,2,36.688267,2.8661154,6.4,176.4
4,2,36.6882675,2.8661171,6.1,176.5
4,2,36.6882699,2.8661187,6.4,176.4
